ride_id,driver_id,passenger_id,pickup_datetime,dropoff_datetime,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,fare_amount,tip_amount,surge_multiplier,ride_status
RIDE00000030,DRV000336,PAS001873,2026-04-30 23:15:00,2026-04-30 23:27:00,37.810894,-122.415576,37.805779,-122.392955,9.72,0.0,1.0,completed
RIDE00000031,DRV001485,PAS004468,2026-04-30 00:30:00,2026-04-30 00:51:00,37.864927,-122.278987,37.756938,-122.421952,39.21,0.0,1.0,completed
RIDE00000032,DRV001849,PAS001288,2026-04-30 18:13:00,2026-04-30 18:20:00,37.878631,-122.278678,37.879334,-122.285884,5.72,0.0,1.0,completed
RIDE00000033,DRV001234,PAS002563,2026-04-30 08:52:00,2026-04-30 08:58:00,37.744382,-122.411881,37.735587,-122.428197,7.33,1.0,1.0,completed
RIDE00000034,DRV001974,PAS000284,2026-04-30 02:13:00,2026-04-30 02:27:00,37.79016,-122.271284,37.789633,-122.406635,27.51,0.0,1.0,completed
RIDE00000035,DRV001171,PAS002251,2026-04-30 16:13:00,2026-04-30 17:13:00,37.773681,-122.427834,37.459388,-122.128391,97.12,11.0,1.0,completed
RIDE00000036,DRV001865,PAS003239,2026-04-30 16:05:00,2026-04-30 16:19:00,,-122.280826,37.779784,-122.412257,28.1,0.0,1.0,completed
RIDE00000037,DRV000071,PAS004526,2026-04-30 08:01:00,2026-04-30 08:06:00,37.77756,-122.408557,37.782325,-122.391819,6.74,0.0,1.0,completed
RIDE00000038,DRV000227,PAS001786,2026-04-30 09:36:00,2026-04-30 10:06:00,37.767347,-122.463008,37.806727,-122.289028,39.33,0.0,1.0,completed
RIDE00000039,DRV001068,PAS003951,2026-04-30 09:17:00,2026-04-30 09:26:00,37.818181,-122.443582,37.811153,-122.421919,8.8,0.0,1.0,completed
RIDE00000040,DRV000820,PAS002870,2026-04-30 13:58:00,2026-04-30 14:03:00,37.777456,-122.416874,37.792908,-122.406277,7.42,0.0,1.0,completed
RIDE00000041,DRV000127,PAS001981,2026-04-30 12:35:00,2026-04-30 12:45:00,37.792892,-122.428002,37.785649,-122.419684,7.4,0.0,1.0,completed
RIDE00000042,DRV001152,PAS003849,2026-04-30 16:52:00,2026-04-30 16:59:00,37.800425,-122.40172,37.763788,-122.436494,13.51,0.0,1.0,completed
RIDE00000043,DRV000520,PAS001745,2026-04-30 04:11:00,2026-04-30 04:23:00,37.802698,-122.440462,37.802915,-122.433286,7.2,2.0,1.0,completed
RIDE00000044,DRV000689,PAS003995,2026-04-30 22:22:00,2026-04-30 23:41:00,37.376799,-122.099821,37.854958,-122.28995,123.75,0.0,1.0,completed
RIDE00000045,DRV000762,PAS002864,2026-04-30 19:17:00,2026-04-30 21:17:00,37.792465,-122.402676,37.338525,-121.900839,155.95,0.0,1.0,completed
RIDE00000046,DRV001585,PAS001029,2026-04-30 18:56:00,,37.77828,-122.419624,,,0.0,0.0,1.0,cancelled
RIDE00000047,DRV000074,PAS002316,2026-04-30 20:50:00,2026-04-30 21:04:00,37.442026,-122.146031,37.379434,-122.075873,23.01,4.0,1.0,completed
RIDE00000048,DRV001555,PAS003695,2026-04-30 22:02:00,2026-04-30 22:07:00,37.763093,-122.417954,37.753803,-122.464234,11.35,0.0,1.0,completed
RIDE00000049,DRV001363,PAS002997,2026-04-30 10:13:00,2026-04-30 11:08:00,37.44448,-122.140147,37.797283,-122.257185,89.98,0.0,1.0,completed
RIDE00000050,DRV000122,PAS000508,2026-04-30 19:39:00,2026-04-30 19:49:00,37.772026,-122.434426,37.787455,-122.40607,10.79,0.0,1.0,completed
RIDE00000051,DRV001097,PAS003545,2026-04-30 17:06:00,2026-04-30 17:11:00,37.800618,-122.429922,37.81482,-122.407015,15.92,2.0,1.88,completed
RIDE00000052,DRV001331,PAS004919,2026-04-30 17:56:00,2026-04-30 18:01:00,37.763458,-122.425908,37.757558,-122.446843,16.17,0.0,2.18,completed
RIDE00000053,DRV000754,PAS003638,2026-04-30 08:53:00,2026-04-30 09:01:00,37.808893,-122.433556,37.792145,-122.422654,8.56,2.0,1.0,completed
RIDE00000054,DRV000773,PAS000775,2026-04-30 05:43:00,2026-04-30 05:48:00,37.814846,-122.421,37.820547,-122.414519,5.49,1.0,1.0,completed
RIDE00000055,DRV001051,PAS004329,2026-04-30 06:53:00,2026-04-30 08:16:00,37.382501,-122.078561,37.787233,-122.457926,125.51,0.0,1.0,completed
RIDE00000056,DRV001529,PAS003310,2026-04-30 08:42:00,2026-04-30 08:56:00,37.780117,-122.449589,37.802583,-122.404216,14.93,0.0,1.0,completed
RIDE00000057,DRV001907,PAS004677,2026-04-30 16:44:00,2026-04-30 17:09:00,37.812113,-122.417209,37.879318,-122.258792,37.63,9.0,1.0,completed
RIDE00000058,DRV000617,PAS004633,2026-04-30 05:24:00,2026-04-30 05:36:00,37.766781,-122.409466,37.765552,-122.421365,7.95,0.0,1.0,completed
RIDE00000059,DRV000825,PAS003610,2026-04-30 11:13:00,2026-04-30 11:31:00,37.449145,-122.126378,37.374886,-122.085674,23.66,0.0,1.0,completed
RIDE00000060,DRV000350,PAS002721,2026-04-30 07:58:00,2026-04-30 09:19:00,37.750196,-122.450698,37.449634,-122.132763,103.11,21.0,1.0,completed
RIDE00000061,DRV000496,PAS004614,2026-04-30 08:50:00,2026-04-30 10:50:00,37.338501,-121.873553,37.784532,-122.423855,159.9,36.0,1.0,completed
RIDE00000062,DRV000446,PAS000367,2026-04-30 13:01:00,2026-04-30 14:40:00,37.335723,-121.882687,37.804796,-122.423944,155.89,0.0,1.0,completed
RIDE00000063,DRV001969,PAS001423,2026-04-30 21:44:00,2026-04-30 21:56:00,37.87546,-122.264172,37.86038,-122.266282,9.05,0.0,1.0,completed
RIDE00000064,DRV000171,PAS000748,2026-04-30 19:20:00,2026-04-30 19:29:00,37.821336,-122.398581,37.816596,-122.405537,6.61,0.0,1.0,completed
RIDE00000065,DRV001410,PAS004544,2026-04-30 10:13:00,2026-04-30 11:52:00,37.324307,-121.875615,37.873558,-122.259766,154.39,21.0,1.0,completed
RIDE00000066,DRV000092,PAS000693,2026-04-30 07:37:00,2026-04-30 08:21:00,37.793687,-122.274125,37.805413,-122.442198,41.64,7.0,1.0,completed
RIDE00000067,DRV001350,PAS001417,2026-04-30 18:39:00,2026-04-30 19:14:00,37.873655,-122.269322,37.769564,-122.413252,43.0,4.0,1.0,completed
RIDE00000068,DRV000220,PAS000796,2026-04-30 11:16:00,2026-04-30 11:28:00,37.797574,-122.446326,37.818056,-122.430299,10.79,0.0,1.0,completed
RIDE00000069,DRV001544,PAS001933,2026-04-30 07:03:00,2026-04-30 08:57:00,37.745438,-122.42328,37.331095,-121.890393,390.28,0.0,2.57,completed
RIDE00000070,DRV000494,PAS000275,2026-04-30 08:12:00,2026-04-30 08:23:00,37.801798,-122.43921,37.800053,-122.463906,9.61,0.0,1.0,completed
RIDE00000071,DRV000461,PAS001310,2026-04-30 13:14:00,,37.865402,-122.268775,,,0.0,0.0,1.0,cancelled
RIDE00000072,DRV000602,PAS001567,2026-04-30 19:31:00,2026-04-30 19:37:00,37.865612,-122.261532,37.882203,-122.290391,9.78,0.0,1.0,completed
RIDE00000073,DRV001259,PAS000570,2026-04-30 17:32:00,2026-04-30 17:37:00,37.768847,-122.433791,37.775148,-122.456212,16.07,0.0,2.1,completed
RIDE00000074,DRV000734,PAS002100,2026-04-30 17:07:00,2026-04-30 19:07:00,37.441829,-122.133673,37.742535,-122.416706,286.55,58.0,2.57,completed
RIDE00000075,DRV001382,PAS002339,2026-04-30 10:55:00,2026-04-30 12:11:00,37.769184,-122.403355,37.395976,-122.07711,113.65,0.0,1.0,completed
RIDE00000076,DRV000558,PAS000007,2026-04-30 19:44:00,2026-04-30 21:44:00,37.355279,-121.903365,37.858985,-122.275806,152.09,36.0,1.0,completed
RIDE00000077,DRV001914,PAS001328,2026-04-30 19:44:00,2026-04-30 19:49:00,37.79302,-122.409397,37.793132,-122.392927,9.73,1.0,1.49,completed
RIDE00000078,DRV000534,PAS003837,2026-04-30 13:08:00,2026-04-30 13:14:00,37.769074,-122.40191,37.77688,-122.397735,5.95,0.0,1.0,completed
RIDE00000079,DRV001141,PAS001770,2026-04-30 12:11:00,2026-04-30 12:21:00,37.814062,-122.412288,37.816234,-122.427539,7.88,0.0,1.0,completed
RIDE00000080,DRV001546,PAS000477,2026-04-30 12:32:00,2026-04-30 12:42:00,37.787328,-122.397919,37.810553,-122.397618,10.02,0.0,1.0,completed
RIDE00000081,DRV001538,PAS001210,2026-04-30 14:16:00,2026-04-30 14:27:00,37.754181,-122.400341,37.774689,-122.422534,11.05,0.0,1.0,completed
RIDE00000082,DRV000979,PAS003513,2026-04-30 16:05:00,2026-04-30 17:05:00,37.793316,-122.276349,37.38306,-122.095185,105.08,0.0,1.0,completed
RIDE00000083,DRV000795,PAS002167,2026-04-30 13:48:00,2026-04-30 13:55:00,37.774539,-122.430631,37.809999,-122.401827,12.8,0.0,1.0,completed
RIDE00000084,DRV000025,PAS002174,2026-04-30 07:29:00,2026-04-30 07:40:00,37.779594,-122.435229,37.80285,-122.439998,17.65,0.0,1.7,completed
RIDE00000085,DRV001225,PAS003426,2026-04-30 08:23:00,2026-04-30 08:28:00,37.809147,-122.420326,37.78606,-122.400294,9.45,0.0,1.0,completed
RIDE00000086,DRV001465,PAS002200,2026-04-30 18:34:00,2026-04-30 18:44:00,37.327107,-121.896264,37.345643,-121.894894,9.11,0.0,1.0,completed
RIDE00000087,DRV000451,PAS000426,2026-04-30 07:29:00,2026-04-30 07:35:00,37.784384,-122.435645,37.768712,-122.431623,11.86,0.0,1.6,completed
RIDE00000088,DRV000749,PAS000731,2026-04-30 07:11:00,2026-04-30 07:16:00,37.818733,-122.40996,37.811019,-122.422578,6.45,0.0,1.0,completed
RIDE00000089,DRV000915,PAS003777,2026-04-30 19:07:00,2026-04-30 19:25:00,37.376755,-122.084398,37.450281,-122.143585,24.88,4.0,1.0,completed
RIDE00000090,DRV001648,PAS000418,2026-04-30 18:15:00,2026-04-30 18:27:00,37.808037,-122.436638,37.797614,-122.407493,21.6,3.0,1.96,completed
RIDE00000091,DRV000712,PAS000124,2026-04-30 05:22:00,2026-04-30 07:22:00,37.794752,-122.453494,37.335952,-121.869015,165.38,33.0,1.0,completed
RIDE00000092,DRV001091,PAS001292,2026-04-30 08:43:00,2026-04-30 09:14:00,37.78462,-122.385581,37.793718,-122.275544,28.81,4.0,1.0,completed
RIDE00000093,DRV001261,PAS003767,2026-04-30 10:16:00,2026-04-30 10:25:00,37.442284,-122.139023,37.397378,-122.065916,19.48,0.0,1.0,completed
RIDE00000094,DRV001494,PAS000389,2026-04-30 13:13:00,2026-04-30 13:25:00,37.779154,-122.455028,37.761524,-122.443933,9.93,0.0,1.0,completed
RIDE00000095,DRV000441,PAS002366,2026-04-30 23:58:00,2026-05-01 00:10:00,37.759825,-122.432324,37.790349,-122.40783,13.13,0.0,1.0,completed
RIDE00000096,DRV001588,PAS000834,2026-04-30 13:21:00,2026-04-30 13:26:00,37.782474,-122.44978,37.782099,-122.41652,9.12,0.0,1.0,completed
RIDE00000097,DRV001224,PAS000206,2026-04-30 19:04:00,2026-04-30 19:09:00,37.341873,-121.888963,37.350481,-121.871641,7.16,0.0,1.0,completed
RIDE00000098,DRV000536,PAS000989,2026-04-30 10:37:00,2026-04-30 11:03:00,37.877926,-122.281579,37.760535,-122.423763,41.91,0.0,1.0,completed
RIDE00000099,DRV000079,PAS000675,2026-04-30 14:36:00,2026-04-30 16:05:00,37.768412,-122.463256,37.379152,-122.086159,124.7,30.0,1.0,completed
RIDE00000100,DRV001660,PAS000226,2026-04-30 15:13:00,2026-04-30 16:17:00,37.43904,-122.145177,37.872878,-122.273672,108.41,0.0,1.0,completed
RIDE00000101,DRV000445,PAS001564,2026-04-30 18:12:00,2026-04-30 18:19:00,37.752792,-122.444879,37.773714,-122.410582,11.26,0.0,1.0,completed
RIDE00000102,DRV000274,PAS001682,2026-04-30 21:37:00,2026-04-30 22:03:00,37.805974,-122.405881,37.873191,-122.274426,34.37,0.0,1.0,completed
RIDE00000103,DRV000220,PAS000675,2026-04-30 22:34:00,2026-04-30 23:47:00,37.789149,-122.410357,37.448977,-122.126915,125.49,0.0,1.21,completed
RIDE00000104,DRV000068,PAS004414,2026-04-30 20:32:00,2026-04-30 21:05:00,37.811746,-122.420647,37.881827,-122.261258,40.43,4.0,1.0,completed
RIDE00000105,DRV000078,PAS001953,2026-04-30 08:57:00,2026-04-30 09:04:00,37.333082,-121.900749,37.347381,-121.88439,8.36,0.0,1.0,completed
RIDE00000106,DRV000343,PAS004912,2026-04-30 17:12:00,2026-04-30 19:12:00,37.748287,-122.405019,37.355058,-121.878182,150.13,0.0,1.0,completed
RIDE00000107,DRV000487,PAS003226,2026-04-30 09:16:00,2026-04-30 10:50:00,37.351957,-121.882075,37.809674,-122.448076,155.41,0.0,1.0,completed
RIDE00000108,DRV001367,PAS000570,2026-04-30 07:56:00,2026-04-30 09:18:00,37.796574,-122.429182,37.444068,-122.136583,290.45,0.0,2.66,completed
RIDE00000109,DRV000627,PAS001398,2026-04-30 15:21:00,2026-04-30 15:47:00,37.777625,-122.421071,37.822203,-122.269819,35.12,0.0,1.0,completed
RIDE00000110,DRV000668,PAS001533,2026-04-30 20:53:00,2026-04-30 21:03:00,37.808937,-122.277272,37.800887,-122.279268,7.1,0.0,1.0,completed
RIDE00000111,DRV001745,PAS001528,2026-04-30 18:48:00,2026-04-30 20:11:00,37.44979,-122.158094,37.806473,-122.385752,288.17,43.0,2.74,completed
RIDE00000112,DRV001090,PAS001647,2026-04-30 18:01:00,2026-04-30 18:16:00,37.76242,-122.414191,37.810001,-122.388595,17.06,3.0,1.0,completed
RIDE00000113,DRV001301,PAS004069,2026-04-30 08:14:00,2026-04-30 08:56:00,37.807335,-122.26944,37.767639,-122.428712,40.78,0.0,1.0,completed
RIDE00000114,DRV001546,PAS002726,2026-04-30 17:18:00,2026-04-30 17:50:00,37.819579,-122.44532,37.819509,-122.280184,37.48,0.0,1.0,completed
RIDE00000115,DRV000342,PAS004445,2026-04-30 21:46:00,2026-04-30 21:53:00,37.81859,-122.396236,37.789003,-122.419547,11.38,0.0,1.0,completed
RIDE00000116,DRV001300,PAS003273,2026-04-30 20:55:00,2026-04-30 22:55:00,37.786941,-122.428359,37.321272,-121.88429,162.01,38.0,1.0,completed
RIDE00000117,DRV001307,PAS004290,2026-04-30 17:26:00,2026-04-30 17:41:00,37.770189,-122.448529,37.798331,-122.390586,17.46,0.0,1.0,completed
RIDE00000118,DRV001377,PAS002234,2026-04-30 19:20:00,2026-04-30 20:57:00,37.433405,-122.160439,37.763214,-122.413461,106.7,15.0,1.0,completed
RIDE00000119,DRV000486,PAS002693,2026-04-30 21:52:00,2026-04-30 23:01:00,37.431638,-122.125172,37.804302,-122.397365,106.98,0.0,1.0,completed
RIDE00000120,DRV000291,PAS004208,2026-04-30 15:24:00,2026-04-30 15:30:00,37.763805,-122.409673,37.76375,-122.427275,7.01,1.0,1.0,completed
RIDE00000121,DRV001271,PAS004037,2026-04-30 18:14:00,2026-04-30 18:47:00,37.757784,-122.397655,37.865251,-122.266264,82.53,0.0,1.99,completed
RIDE00000122,DRV001899,PAS004382,2026-04-30 17:12:00,2026-04-30 19:12:00,37.817235,-122.408894,37.374194,-122.071622,276.97,39.0,1.99,completed
RIDE00000123,DRV001223,PAS003251,2026-04-30 23:39:00,,37.809677,-122.257299,,,0.0,0.0,1.0,cancelled
RIDE00000124,DRV000470,PAS003815,2026-04-30 08:23:00,2026-04-30 08:33:00,37.769609,-122.450388,37.797771,-122.398563,15.17,3.0,1.0,completed
RIDE00000125,DRV001929,PAS003627,2026-04-30 10:55:00,2026-04-30 11:00:00,37.322547,-121.887102,37.344124,-121.898229,8.54,0.0,1.0,completed
RIDE00000126,DRV001667,PAS001488,2026-04-30 16:08:00,2026-04-30 17:51:00,37.34671,-121.894631,37.777046,-122.423583,150.32,0.0,1.0,completed
RIDE00000127,DRV001556,PAS001134,2026-04-30 18:02:00,2026-04-30 18:38:00,37.810004,-122.261731,37.746212,-122.427713,90.46,10.0,2.17,completed
RIDE00000128,DRV000445,PAS000994,2026-04-30 06:31:00,2026-04-30 06:36:00,37.770368,-122.424034,37.761107,-122.428526,5.93,0.0,1.0,completed
RIDE00000129,DRV000472,PAS003237,2026-04-30 19:48:00,2026-04-30 21:48:00,37.371637,-122.101458,37.759842,-122.416187,128.29,27.0,1.0,completed
RIDE00000130,DRV001641,PAS004948,2026-04-30 16:32:00,2026-04-30 16:37:00,37.757279,-122.41102,37.78404,-122.401276,9.42,2.0,1.0,completed
RIDE00000131,DRV000486,PAS001802,2026-04-30 16:10:00,2026-04-30 16:47:00,37.889106,-122.25838,37.768843,-122.422079,47.96,6.0,1.0,completed
RIDE00000132,DRV000102,PAS004503,2026-04-30 20:12:00,2026-04-30 21:27:00,37.392957,-122.087331,37.860238,-122.279823,120.65,0.0,1.0,completed
RIDE00000133,DRV001668,PAS003741,2026-04-30 09:36:00,2026-04-30 10:43:00,37.791677,-122.28824,37.368607,-122.099534,109.92,27.0,1.0,completed
RIDE00000134,DRV001409,PAS001916,2026-04-30 09:32:00,2026-04-30 09:44:00,37.37164,-122.070323,37.3825,-122.068891,8.22,0.0,1.0,completed
RIDE00000135,DRV001857,PAS003889,2026-04-30 19:11:00,2026-04-30 19:18:00,37.785863,-122.396033,37.775705,-122.402903,16.9,0.0,2.47,completed
RIDE00000136,DRV000700,PAS001770,2026-04-30 15:25:00,2026-04-30 15:30:00,37.436648,-122.143976,37.427864,-122.137179,6.01,1.0,1.0,completed
RIDE00000137,DRV001686,PAS004950,2026-04-30 19:37:00,2026-04-30 19:42:00,37.752497,-122.45176,37.759097,-122.420721,11.63,1.0,1.3,completed
RIDE00000138,DRV001637,PAS003160,2026-04-30 00:30:00,2026-04-30 00:47:00,37.79664,-122.401966,37.80993,-122.268742,28.25,0.0,1.0,completed
RIDE00000139,DRV000891,PAS004650,2026-04-30 19:42:00,2026-04-30 19:47:00,37.804662,-122.394786,37.780929,-122.420444,18.94,0.0,1.88,completed
RIDE00000140,DRV000465,PAS001292,2026-04-30 05:20:00,2026-04-30 05:25:00,37.431624,-122.14672,37.453168,-122.152212,8.28,0.0,1.0,completed
RIDE00000141,DRV000161,PAS000221,2026-04-30 13:07:00,2026-04-30 13:17:00,37.811812,-122.382814,37.801364,-122.398461,8.65,0.0,1.0,completed
RIDE00000142,DRV000351,PAS000690,2026-04-30 08:31:00,2026-04-30 08:38:00,37.761339,-122.452736,37.77906,-122.439357,8.62,0.0,1.0,completed
RIDE00000143,DRV001485,PAS004481,2026-04-30 19:54:00,2026-04-30 21:41:00,37.429925,-122.153256,37.752827,-122.413713,184.5,0.0,1.69,completed
RIDE00000144,DRV000343,PAS002144,2026-04-30 15:07:00,2026-04-30 16:31:00,37.436822,-122.145379,37.805466,-122.424677,111.36,13.0,1.0,completed
RIDE00000145,DRV000054,PAS001719,2026-04-30 09:59:00,2026-04-30 10:12:00,37.764583,-122.405283,37.805394,-122.445285,16.45,0.0,1.0,completed
RIDE00000146,DRV000994,PAS004559,2026-04-30 19:08:00,,37.424633,-122.152849,,,0.0,0.0,1.68,cancelled
RIDE00000147,DRV001377,PAS001661,2026-04-30 09:41:00,2026-04-30 09:49:00,37.808142,-122.263457,37.801897,-122.282137,11.47,0.0,1.43,completed
RIDE00000148,DRV001117,PAS003170,2026-04-30 19:45:00,2026-04-30 19:50:00,37.801589,-122.397703,37.798193,-122.407848,5.69,1.0,1.0,completed
RIDE00000149,DRV000787,PAS003180,2026-04-30 21:36:00,2026-04-30 21:46:00,37.79238,-122.429008,37.775399,-122.415079,9.44,0.0,1.0,completed
RIDE00000150,DRV001681,PAS002196,2026-04-30 10:03:00,2026-04-30 10:28:00,37.853587,-122.26465,37.775402,-122.435563,40.36,0.0,1.0,completed
RIDE00000151,DRV000604,PAS003633,2026-04-30 18:39:00,2026-04-30 18:48:00,37.880743,-122.286022,37.874313,-122.261921,9.11,0.0,1.0,completed
RIDE00000152,DRV000343,PAS000335,2026-04-30 11:57:00,2026-04-30 13:38:00,37.778859,-122.413751,37.351986,-121.896273,148.0,16.0,1.0,completed
RIDE00000153,DRV001156,PAS000975,2026-04-30 17:45:00,2026-04-30 17:51:00,37.777392,-122.42266,37.782108,-122.437633,11.79,0.0,1.74,completed
RIDE00000154,DRV001340,PAS000997,2026-04-30 13:20:00,2026-04-30 13:30:00,37.320555,-121.869146,37.352555,-121.893492,12.78,3.0,1.0,completed
RIDE00000155,DRV001227,PAS001122,2026-04-30 08:37:00,2026-04-30 08:42:00,37.822642,-122.410254,37.796034,-122.4051,9.24,2.0,1.0,completed
RIDE00000156,DRV001901,PAS003442,2026-04-30 21:55:00,2026-04-30 22:00:00,37.806349,-122.390569,37.777662,-122.408628,10.23,0.0,1.0,completed
RIDE00000157,DRV001252,PAS003841,2026-04-30 17:59:00,2026-04-30 18:07:00,37.448948,-122.153183,37.434384,-122.155052,7.75,0.0,1.0,completed
RIDE00000158,DRV000864,PAS002764,2026-04-30 22:09:00,2026-04-30 22:24:00,37.804515,-122.3971,37.782821,-122.445722,19.48,4.0,1.25,completed
RIDE00000159,DRV000834,PAS004988,2026-04-30 17:05:00,2026-04-30 19:05:00,37.783794,-122.433859,37.340621,-121.876223,160.3,0.0,1.0,completed
RIDE00000160,DRV000570,PAS003974,2026-04-30 11:03:00,2026-04-30 11:13:00,37.75488,-122.415073,37.771104,-122.455165,12.43,2.0,1.0,completed
RIDE00000161,DRV000328,PAS001129,2026-04-30 07:34:00,2026-04-30 07:39:00,37.805647,-122.438797,37.801638,-122.401193,9.83,0.0,1.0,completed
RIDE00000162,DRV000470,PAS002943,2026-04-30 19:53:00,2026-04-30 20:22:00,37.792908,-122.258468,37.802395,-122.417806,82.63,18.0,2.31,completed
RIDE00000163,DRV001269,PAS003235,2026-04-30 12:57:00,2026-04-30 13:02:00,37.812034,-122.408045,37.766452,-122.421763,13.12,0.0,1.0,completed
RIDE00000164,DRV000992,PAS002072,2026-04-30 01:29:00,2026-04-30 01:40:00,37.802642,-122.272594,37.818627,-122.266181,9.06,0.0,1.0,completed
RIDE00000165,DRV000021,PAS004750,2026-04-30 05:36:00,,37.802161,-122.397601,,,0.0,0.0,1.0,cancelled
RIDE00000166,DRV001391,PAS002704,2026-04-30 20:22:00,2026-04-30 20:33:00,37.810856,-122.419072,37.804297,-122.433807,8.4,1.0,1.0,completed
RIDE00000167,DRV000003,PAS004121,2026-04-30 08:08:00,2026-04-30 08:15:00,37.786798,-122.430191,37.786871,-122.395964,9.86,1.0,1.0,completed
